,price,value,held,cash
timestamp,,,,
1732670112.777259,92304.61,100000.0,0.0,100000.0
1732670116.20407,92317.29,100000.0,0.0,100000.0
1732670116.398098,92322.89,100000.0,0.0,100000.0
1732670119.946136,92314.83,100000.0,0.0,100000.0
1732670120.374034,92311.39,100000.0,0.0,100000.0
1732670120.553805,92322.89,100000.0,0.0,100000.0
1732670120.767709,92311.39,100000.0,0.0,100000.0
1732670130.147831,92321.75,100000.0,0.0,100000.0
1732670130.399114,92311.39,100000.0,0.0,100000.0
1732670130.575198,92321.93,100000.0,0.0,100000.0
1732670131.359873,92321.75,100000.0,0.0,100000.0
1732670131.540986,92322.7,100000.0,0.0,100000.0
1732670131.753834,92322.64,100000.0,0.0,100000.0
1732670132.162614,92326.39,100000.0,0.0,100000.0
1732670132.392552,92327.48,100000.0,0.0,100000.0
1732670133.486299,92328.58,100000.0,0.0,100000.0
1732670147.40564,92344.62,100000.0,0.0,100000.0
1732670147.634497,92328.58,100000.0,0.0,100000.0
1732670147.839565,92344.62,100000.0,0.0,100000.0
1732670148.253956,92344.99,100000.0,0.0,100000.0
1732670155.45327,92332.57,100000.0,0.0,100000.0
1732670155.685431,92336.94,100004.73289111308,1.0830414446386578,0.0
1732670155.870182,92332.57,100004.73289111308,0.0,100004.73289111308
1732670159.165394,92311.32,99981.71717115708,1.083092703810942,0.0
1732670159.814021,92328.55,99981.71717115708,0.0,99981.71717115708
1732670160.024471,92310.33,99961.98690476756,1.0828905812032907,0.0
1732670160.41868,92311.32,99961.98690476756,0.0,99961.98690476756
1732670160.599937,92310.33,99960.91485458957,1.0828789676582196,0.0
1732670163.923733,92317.82,99960.91485458957,0.0,99960.91485458957
1732670164.10608,92310.33,99952.80474917048,1.0827911106933588,0.0
1732670164.565887,92313.06,99952.80474917048,0.0,99952.80474917048
1732670164.800518,92317.82,99957.95868243417,1.082759089008321,0.0
1732670168.078867,92322.26,99962.76613278934,1.082759089008321,0.0
1732670168.534017,92325.48,99962.76613278934,0.0,99962.76613278934
1732670168.724412,92322.26,99959.27977011951,1.0827213260390236,0.0
1732670169.272495,92344.99,99959.27977011951,0.0,99959.27977011951
1732670169.456049,92349.99,99959.27977011951,0.0,99959.27977011951
1732670169.640863,92344.99,99959.27977011951,0.0,99959.27977011951
1732670170.137671,92349.99,99964.69204423261,1.0824548226180923,0.0
1732670170.824297,92359.15,99964.69204423261,0.0,99964.69204423261
1732670171.418741,92372.14,99964.69204423261,0.0,99964.69204423261
1732670171.814249,92367.13,99959.27024598108,1.082195259785392,0.0
1732670172.024003,92372.14,99959.27024598108,0.0,99959.27024598108
1732670173.45079,92372.26,99959.27024598108,0.0,99959.27024598108
1732670173.946026,92378.14,99965.63320071496,1.0821351588234507,0.0
