,price,value,value_with_fees
1732670673.778831,92505.83,100000.0,100000.0
1732670688.669775,92529.62,100000.0,100000.0
1732670689.074895,92505.83,100000.0,100000.0
1732670689.562221,92529.62,100000.0,100000.0
1732670698.220322,92522.46,100000.0,100000.0
1732670704.696207,92529.62,100000.0,100000.0
1732670704.916381,92522.46,100000.0,100000.0
1732670705.363873,92541.29,100000.0,100000.0
1732670705.593697,92529.62,100000.0,100000.0
1732670705.866285,92530.93,100000.0,100000.0
1732670706.295138,92522.46,100000.0,100000.0
1732670706.47316,92530.93,100000.0,100000.0
1732670706.960905,92541.29,100000.0,100000.0
1732670707.177097,92530.93,100000.0,100000.0
1732670707.413238,92541.29,100000.0,100000.0
1732670720.1756,92538.65,100000.0,100000.0
1732670732.475307,92541.29,100000.0,100000.0
1732670732.694723,92538.65,100000.0,100000.0
1732670732.89696,92541.29,100000.0,100000.0
1732670733.553946,92560.11,100000.0,100000.0
1732670733.801474,92556.68,100000.0,100000.0
1732670734.000014,92560.11,100000.0,92596.02392345485
1732670734.66477,92538.65,100000.0,0.0
1732670735.715329,92527.98,99988.46968266772,0.0
1732670741.101488,92516.9,99988.46968266772,0.0
1732670742.482036,92490.86,99960.32671905204,0.0
1732670744.708282,92487.83,99957.05201936865,0.0
1732670745.425637,92476.23,99957.05201936865,0.0
1732670745.723632,92487.83,99969.59039602421,0.0
1732670746.011444,92476.23,99957.05201936867,0.0
1732670746.603782,92463.34,99957.05201936867,0.0
1732670747.16695,92464.24,99958.02496006947,0.0
1732670748.965911,92475.58,99970.28401289947,0.0
1732670754.944811,92450.01,99970.28401289947,0.0
1732670755.12932,92446.06,99966.0127032279,0.0
1732670755.309891,92450.01,99966.0127032279,0.0
1732670756.397645,92429.86,99944.2245481377,0.0
