,price,value
1732756803.996566,96152.01,100000.0
1732756806.78713,96144.02,100000.0
1732756808.669551,96145.61,100000.0
1732756810.458064,96150.99,100000.0
1732756812.542704,96191.99,100000.0
1732756814.669731,96195.99,100000.0
1732756824.630792,96203.99,100000.0
1732756828.699334,96202.01,100000.0
1732756832.657872,96175.67,100000.0
1732756836.644321,96188.15,100000.0
1732756838.744295,96206.35,100000.0
1732756840.573665,96214.99,100000.0
1732756844.552968,96208.01,100000.0
1732756848.520812,96200.01,100000.0
1732756850.639025,96201.99,100000.0
1732756866.564265,96211.49,100000.0
1732756868.695663,96201.49,100000.0
1732756872.726956,96187.01,100000.0
1732756874.58842,96180.08,100000.0
1732756876.77044,96196.29,100000.0
1732756878.675899,96202.38,100006.33080548118
1732756884.647608,96195.52,100006.33080548118
1732756886.522326,96194.18,100006.33080548118
1732756890.50692,96190.74,100002.75447915905
1732756894.634749,96191.76,100002.75447915905
1732756900.529435,96215.99,100027.94444076315
1732756902.729499,96208.71,100027.94444076315
1732756904.572496,96208.64,100027.94444076315
1732756906.767584,96198.35,100027.94444076315
1732756908.612146,96198.41,100028.00682932457
1732756910.752404,96198.42,100028.00682932457
1732756918.504704,96194.99,100024.44028360142
1732756920.677124,96191.73,100021.05050545055
